/content/drive/MyDrive/SEEM3650_pe2/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_h3.py:

out_dir = 'out-shakespeare-char-l7-h3'
eval_interval = 200
log_interval = 20
eval_iters = 20
always_save_checkpoint = False

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 128

n_layer = 7
n_head = 3
n_embd = 210
dropout = 0.2

learning_rate = 1e-3
max_iters = 1000
lr_decay_iters = 1000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 50

device = 'cuda' if __import__('torch').cuda.is_available() else 'cpu'
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.72M
num decayed parameter tensors: 30, with 3,744,930 parameters
num non-decayed parameter tensors: 15, with 3,150 parameters
using fused AdamW: True
step 0: train loss 4.2133, val loss 4.2096
iter 0: loss 4.2121, time 1392.39ms, mfu -100.00%
iter 20: loss 2.9367, time 66.77ms, mfu 0.48%
iter 40: loss 2.6490, time 40.39ms, mfu 0.51%
iter 60: loss 2.5783, time 66.06ms, mfu 0.51%
iter 80: loss 2.4879, time 65.44ms, mfu 0.51%
iter 100: loss 2.4937, time 67.35ms, mfu 0.51%
iter 120: loss 2.4837, time 66.05ms, mfu 0.51%
iter 140: loss 2.4633, time 66.94ms, mfu 0.50%
iter 160: loss 2.4114, time 66.83ms, mfu 0.50%
iter 180: loss 2.4598, time 65.50ms, mfu 0.50%
step 200: train loss 2.3842, val loss 2.3922
saving checkpoint to out-shakespeare-char-l7-h3
iter 200: loss 2.4092, time 1358.69ms, mfu 0.45%
iter 220: loss 2.4138, time 65.51ms, mfu 0.46%
iter 240: loss 2.3551, time 65.27ms, mfu 0.46%
iter 260: loss 2.3230, time 65.93ms, mfu 0.46%
iter 280: loss 2.3252, time 67.31ms, mfu 0.46%
iter 300: loss 2.2814, time 65.61ms, mfu 0.47%
iter 320: loss 2.3118, time 69.46ms, mfu 0.47%
iter 340: loss 2.3028, time 65.40ms, mfu 0.47%
iter 360: loss 2.2104, time 65.85ms, mfu 0.47%
iter 380: loss 2.2388, time 65.54ms, mfu 0.47%
step 400: train loss 2.1172, val loss 2.1770
saving checkpoint to out-shakespeare-char-l7-h3
iter 400: loss 2.2293, time 1401.45ms, mfu 0.43%
iter 420: loss 2.1583, time 65.86ms, mfu 0.44%
iter 440: loss 2.1399, time 65.41ms, mfu 0.44%
iter 460: loss 2.1347, time 66.03ms, mfu 0.45%
iter 480: loss 2.1678, time 68.22ms, mfu 0.45%
iter 500: loss 2.0789, time 66.46ms, mfu 0.45%
iter 520: loss 2.1019, time 66.06ms, mfu 0.46%
iter 540: loss 2.1578, time 67.98ms, mfu 0.46%
iter 560: loss 2.0733, time 66.33ms, mfu 0.46%
iter 580: loss 2.0848, time 65.88ms, mfu 0.46%
step 600: train loss 1.9498, val loss 2.0243
saving checkpoint to out-shakespeare-char-l7-h3
iter 600: loss 2.0541, time 1387.96ms, mfu 0.42%
iter 620: loss 2.0432, time 66.62ms, mfu 0.43%
iter 640: loss 2.0173, time 66.43ms, mfu 0.43%
iter 660: loss 2.0041, time 67.08ms, mfu 0.44%
iter 680: loss 1.9841, time 67.37ms, mfu 0.44%
iter 700: loss 1.9689, time 67.59ms, mfu 0.44%
iter 720: loss 2.0031, time 66.71ms, mfu 0.45%
iter 740: loss 1.9669, time 68.36ms, mfu 0.45%
iter 760: loss 1.8763, time 65.24ms, mfu 0.46%
iter 780: loss 1.9394, time 67.38ms, mfu 0.46%
step 800: train loss 1.8550, val loss 1.9577
saving checkpoint to out-shakespeare-char-l7-h3
iter 800: loss 1.9619, time 1443.36ms, mfu 0.41%
iter 820: loss 1.9300, time 68.03ms, mfu 0.42%
iter 840: loss 1.9442, time 67.91ms, mfu 0.43%
iter 860: loss 1.9262, time 66.98ms, mfu 0.43%
iter 880: loss 1.9015, time 67.12ms, mfu 0.44%
iter 900: loss 1.9345, time 67.97ms, mfu 0.44%
iter 920: loss 1.9502, time 67.59ms, mfu 0.44%
iter 940: loss 1.9644, time 52.04ms, mfu 0.46%
iter 960: loss 1.8930, time 67.00ms, mfu 0.46%
iter 980: loss 1.8899, time 66.96ms, mfu 0.47%
step 1000: train loss 1.8090, val loss 1.9162
saving checkpoint to out-shakespeare-char-l7-h3
iter 1000: loss 1.8579, time 1423.61ms, mfu 0.42%
