/content/drive/MyDrive/SEEM3650_pe2/nanoGPT/train.py:196: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
Overriding config with config/train_shakespeare_char_h2.py:

out_dir = 'out-shakespeare-char-l7-h2'
eval_interval = 200
log_interval = 20
eval_iters = 20
always_save_checkpoint = False

wandb_log = False

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 32
block_size = 128

n_layer = 7
n_head = 2
n_embd = 210
dropout = 0.2

learning_rate = 1e-3
max_iters = 1000
lr_decay_iters = 1000
min_lr = 1e-4
beta2 = 0.99
warmup_iters = 50

device = 'cuda' if __import__('torch').cuda.is_available() else 'cpu'
compile = False

tokens per iteration will be: 4,096
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 3.72M
num decayed parameter tensors: 30, with 3,744,930 parameters
num non-decayed parameter tensors: 15, with 3,150 parameters
using fused AdamW: True
step 0: train loss 4.2138, val loss 4.2101
iter 0: loss 4.2119, time 1279.80ms, mfu -100.00%
iter 20: loss 2.9417, time 60.64ms, mfu 0.53%
iter 40: loss 2.6517, time 60.98ms, mfu 0.53%
iter 60: loss 2.5828, time 63.97ms, mfu 0.53%
iter 80: loss 2.5003, time 64.18ms, mfu 0.53%
iter 100: loss 2.5009, time 60.42ms, mfu 0.53%
iter 120: loss 2.4985, time 60.39ms, mfu 0.53%
iter 140: loss 2.4659, time 60.98ms, mfu 0.53%
iter 160: loss 2.4144, time 60.76ms, mfu 0.53%
iter 180: loss 2.4601, time 60.40ms, mfu 0.53%
step 200: train loss 2.3786, val loss 2.3826
saving checkpoint to out-shakespeare-char-l7-h2
iter 200: loss 2.3935, time 1284.37ms, mfu 0.48%
iter 220: loss 2.3982, time 60.76ms, mfu 0.48%
iter 240: loss 2.3649, time 62.68ms, mfu 0.49%
iter 260: loss 2.3338, time 61.11ms, mfu 0.49%
iter 280: loss 2.3345, time 61.11ms, mfu 0.49%
iter 300: loss 2.2949, time 54.48ms, mfu 0.50%
iter 320: loss 2.3083, time 61.03ms, mfu 0.51%
iter 340: loss 2.3054, time 61.13ms, mfu 0.51%
iter 360: loss 2.2288, time 61.91ms, mfu 0.51%
iter 380: loss 2.2573, time 63.52ms, mfu 0.51%
step 400: train loss 2.1267, val loss 2.1742
saving checkpoint to out-shakespeare-char-l7-h2
iter 400: loss 2.2385, time 1302.62ms, mfu 0.46%
iter 420: loss 2.1662, time 62.07ms, mfu 0.47%
iter 440: loss 2.1365, time 62.92ms, mfu 0.47%
iter 460: loss 2.1363, time 61.82ms, mfu 0.48%
iter 480: loss 2.1738, time 58.57ms, mfu 0.48%
iter 500: loss 2.1044, time 61.57ms, mfu 0.49%
iter 520: loss 2.1276, time 62.52ms, mfu 0.49%
iter 540: loss 2.1491, time 61.68ms, mfu 0.49%
iter 560: loss 2.0749, time 62.70ms, mfu 0.50%
iter 580: loss 2.0999, time 63.21ms, mfu 0.50%
step 600: train loss 1.9607, val loss 2.0330
saving checkpoint to out-shakespeare-char-l7-h2
iter 600: loss 2.0545, time 1304.50ms, mfu 0.45%
iter 620: loss 2.0583, time 61.83ms, mfu 0.46%
iter 640: loss 2.0219, time 62.05ms, mfu 0.46%
iter 660: loss 2.0124, time 62.91ms, mfu 0.47%
iter 680: loss 1.9798, time 62.53ms, mfu 0.47%
iter 700: loss 1.9796, time 63.09ms, mfu 0.48%
iter 720: loss 1.9979, time 63.57ms, mfu 0.48%
iter 740: loss 1.9678, time 63.42ms, mfu 0.48%
iter 760: loss 1.8763, time 60.50ms, mfu 0.49%
iter 780: loss 1.9408, time 62.93ms, mfu 0.49%
step 800: train loss 1.8431, val loss 1.9488
saving checkpoint to out-shakespeare-char-l7-h2
iter 800: loss 1.9678, time 1370.68ms, mfu 0.44%
iter 820: loss 1.9382, time 63.65ms, mfu 0.45%
iter 840: loss 1.9526, time 64.07ms, mfu 0.46%
iter 860: loss 1.9328, time 63.08ms, mfu 0.46%
iter 880: loss 1.9033, time 64.19ms, mfu 0.47%
iter 900: loss 1.9460, time 63.24ms, mfu 0.47%
iter 920: loss 1.9390, time 62.98ms, mfu 0.47%
iter 940: loss 1.9602, time 62.81ms, mfu 0.48%
iter 960: loss 1.9029, time 63.95ms, mfu 0.48%
iter 980: loss 1.8885, time 40.69ms, mfu 0.51%
step 1000: train loss 1.7982, val loss 1.9109
saving checkpoint to out-shakespeare-char-l7-h2
iter 1000: loss 1.8561, time 1952.43ms, mfu 0.46%
